,strategy,factor,CAGR,daily_sharpe,max_drawdown,avg_drawdown,win_ratio,ytd,MA,std
39,p_60_0_1_v_5_0_8,建材營造&pb,0.0442889472281045,87.39,-0.3912623080237524,-0.0647388096726682,0.5282258064516129,0.0,60,0.8
40,p_80_0_1_v_5_0_4,建材營造&pb,0.052329816990215994,74.5,-0.3736196303752216,-0.05893563538681299,0.5276595744680851,0.0,80,0.4
41,p_80_0_1_v_5_0_5,建材營造&pb,0.04741061310290551,79.87,-0.3846096589587562,-0.06297194797716976,0.5188284518828452,0.0,80,0.5
42,p_80_0_1_v_5_0_6,建材營造&pb,0.04813802497646469,78.66,-0.3846096589587562,-0.06203392269944743,0.5147679324894515,0.0,80,0.6
43,p_80_0_1_v_5_0_7,建材營造&pb,0.04604099295052766,80.06,-0.3846096589587561,-0.06306027839254523,0.5104602510460251,0.0,80,0.7
44,p_80_0_1_v_5_0_8,建材營造&pb,0.04897674007796993,79.32,-0.3846096589587562,-0.06535221274990509,0.5168067226890757,0.0,80,0.8
45,p_100_0_1_v_5_0_4,建材營造&pb,0.055134796312091616,73.11,-0.400695331352488,-0.06662620463023537,0.5205479452054794,0.0,100,0.4
46,p_100_0_1_v_5_0_5,建材營造&pb,0.04916738889618011,79.01,-0.3922090918975162,-0.06601117621682967,0.5067264573991032,0.0,100,0.5
47,p_100_0_1_v_5_0_6,建材營造&pb,0.04851588949041452,79.72,-0.3922090918975162,-0.06557569689146105,0.5087719298245614,0.0,100,0.6
48,p_100_0_1_v_5_0_7,建材營造&pb,0.04624593419467149,80.57,-0.3922090918975163,-0.06661512280000587,0.5066666666666667,0.0,100,0.7
49,p_100_0_1_v_5_0_8,建材營造&pb,0.04760346477023769,83.06,-0.3922090918975162,-0.06806148112299823,0.5042735042735043,0.0,100,0.8
50,p_20_0_1_v_5_0_4,居家生活&ev_s,-0.018087302963336604,93.38,-0.4069828682021933,-0.18047894470282086,0.4642857142857143,0.0,20,0.4
51,p_20_0_1_v_5_0_5,居家生活&ev_s,-0.0076945516282972415,110.04,-0.40653180169417724,-0.1797673716351237,0.4827586206896552,0.0,20,0.5
52,p_20_0_1_v_5_0_6,居家生活&ev_s,-0.009261194630624137,108.88,-0.40653180169417724,-0.1839569812014153,0.4666666666666667,0.0,20,0.6
53,p_20_0_1_v_5_0_7,居家生活&ev_s,-0.009261194630624137,108.88,-0.40653180169417724,-0.1839569812014153,0.4666666666666667,0.0,20,0.7
54,p_20_0_1_v_5_0_8,居家生活&ev_s,-0.0031011112672201246,108.04,-0.45266721384320785,-0.2481121713381233,0.5,0.0,20,0.8
55,p_40_0_1_v_5_0_4,居家生活&ev_s,-0.018158281694081957,91.28,-0.3931391500911231,-0.19173986832857015,0.46875,0.0,40,0.4
56,p_40_0_1_v_5_0_5,居家生活&ev_s,-0.019082420053765592,90.51,-0.42780539272537,-0.18813505979380346,0.46153846153846156,0.0,40,0.5
57,p_40_0_1_v_5_0_6,居家生活&ev_s,-0.02063108399086666,88.95,-0.42780539272537,-0.19219650707292368,0.4444444444444444,0.0,40,0.6
58,p_40_0_1_v_5_0_7,居家生活&ev_s,-0.02063108399086666,88.95,-0.42780539272537,-0.19219650707292368,0.4444444444444444,0.0,40,0.7
59,p_40_0_1_v_5_0_8,居家生活&ev_s,-0.016348119368958303,94.95,-0.5584309620852246,-0.3503799198934137,0.5,0.0,40,0.8
60,p_60_0_1_v_5_0_4,居家生活&ev_s,0.0037811761539487954,178.14,-0.4090633924340078,-0.20523644320995477,0.55,0.0,60,0.4
61,p_60_0_1_v_5_0_5,居家生活&ev_s,0.0037811761539487954,178.14,-0.4090633924340078,-0.20523644320995477,0.55,0.0,60,0.5
62,p_60_0_1_v_5_0_6,居家生活&ev_s,0.003584077765026228,179.15,-0.4090633924340078,-0.20580401993349012,0.5365853658536586,0.0,60,0.6
63,p_60_0_1_v_5_0_7,居家生活&ev_s,0.003584077765026228,179.15,-0.4090633924340078,-0.20580401993349012,0.5365853658536586,0.0,60,0.7
64,p_60_0_1_v_5_0_8,居家生活&ev_s,0.003584077765026228,179.15,-0.4090633924340078,-0.20580401993349012,0.5365853658536586,0.0,60,0.8
65,p_80_0_1_v_5_0_4,居家生活&ev_s,0.011318912904425105,128.88,-0.3512576812858793,-0.15307487631791888,0.5625,0.0,80,0.4
66,p_80_0_1_v_5_0_5,居家生活&ev_s,0.011318912904425105,128.88,-0.3512576812858793,-0.15307487631791888,0.5625,0.0,80,0.5
67,p_80_0_1_v_5_0_6,居家生活&ev_s,0.009774927781091014,136.1,-0.3512576812858793,-0.1579476963888053,0.5454545454545454,0.0,80,0.6
68,p_80_0_1_v_5_0_7,居家生活&ev_s,0.0061368044398548705,145.63,-0.3512576812858793,-0.16688502847077394,0.5294117647058824,0.0,80,0.7
69,p_80_0_1_v_5_0_8,居家生活&ev_s,0.007634938962032933,163.75,-0.3512576812858793,-0.16560101500727495,0.5384615384615384,0.0,80,0.8
70,p_100_0_1_v_5_0_4,居家生活&ev_s,0.011318912904425105,128.88,-0.3512576812858793,-0.15307487631791888,0.5625,0.0,100,0.4
71,p_100_0_1_v_5_0_5,居家生活&ev_s,0.011318912904425105,128.88,-0.3512576812858793,-0.15307487631791888,0.5625,0.0,100,0.5
72,p_100_0_1_v_5_0_6,居家生活&ev_s,0.009774927781091014,136.1,-0.3512576812858793,-0.1579476963888053,0.5454545454545454,0.0,100,0.6
73,p_100_0_1_v_5_0_7,居家生活&ev_s,0.00020868268103768628,162.85,-0.4090633924340078,-0.2106362022053818,0.5142857142857142,0.0,100,0.7
74,p_100_0_1_v_5_0_8,居家生活&ev_s,0.0016979902486513598,183.02,-0.4090633924340078,-0.21363492490568506,0.525,0.0,100,0.8
75,p_20_0_1_v_5_0_4,建材營造&p_ic,0.08780823792708548,44.86,-0.36426211907512973,-0.09913080057762431,0.49586776859504134,0.0,20,0.4
76,p_20_0_1_v_5_0_5,建材營造&p_ic,0.08864396978570821,44.65,-0.347773605477257,-0.09837254558050253,0.4897959183673469,0.0,20,0.5
77,p_20_0_1_v_5_0_6,建材營造&p_ic,0.08039177535282294,46.19,-0.3477736054772569,-0.10382773471186611,0.48582995951417,0.0,20,0.6
78,p_20_0_1_v_5_0_7,建材營造&p_ic,0.08039177535282294,46.19,-0.3477736054772569,-0.10382773471186611,0.48582995951417,0.0,20,0.7
79,p_20_0_1_v_5_0_8,建材營造&p_ic,0.08014156909007863,46.28,-0.3477736054772569,-0.10438436477972975,0.48760330578512395,0.0,20,0.8
80,p_40_0_1_v_5_0_4,建材營造&p_ic,0.09425252706150422,39.83,-0.3642621190751296,-0.09146551773174502,0.5044642857142857,0.0,40,0.4
81,p_40_0_1_v_5_0_5,建材營造&p_ic,0.09783373369957826,38.65,-0.3477736054772569,-0.09125035777895386,0.49557522123893805,0.0,40,0.5
82,p_40_0_1_v_5_0_6,建材營造&p_ic,0.09402441289261465,39.34,-0.347773605477257,-0.09434972315291124,0.49333333333333335,0.0,40,0.6
83,p_40_0_1_v_5_0_7,建材營造&p_ic,0.08719959069650751,43.61,-0.3477736054772569,-0.09336216852227487,0.48917748917748916,0.0,40,0.7
84,p_40_0_1_v_5_0_8,建材營造&p_ic,0.08676808473804964,44.9,-0.34777360547725666,-0.09331485508340621,0.4918032786885246,0.0,40,0.8
85,p_60_0_1_v_5_0_4,建材營造&p_ic,0.07562297373235172,45.36,-0.39819312870134993,-0.11058789895254809,0.5066079295154186,0.0,60,0.4
86,p_60_0_1_v_5_0_5,建材營造&p_ic,0.08482608478922549,42.22,-0.3488493657347932,-0.10079193810400437,0.5,0.0,60,0.5
87,p_60_0_1_v_5_0_6,建材營造&p_ic,0.08315372883419503,42.68,-0.36531068373343367,-0.10434722873729031,0.5,0.0,60,0.6
88,p_60_0_1_v_5_0_7,建材營造&p_ic,0.07630616607214202,48.2,-0.36531068373343356,-0.10385259807189096,0.49783549783549785,0.0,60,0.7
89,p_60_0_1_v_5_0_8,建材營造&p_ic,0.07463905275465432,50.15,-0.36531068373343345,-0.10281584501802252,0.49572649572649574,0.0,60,0.8
90,p_80_0_1_v_5_0_4,建材營造&p_ic,0.07577827832366557,50.88,-0.3497883528570612,-0.10941072692758601,0.4977168949771689,0.0,80,0.4
91,p_80_0_1_v_5_0_5,建材營造&p_ic,0.07651847829795178,49.69,-0.3497883528570612,-0.10952144269261224,0.4954954954954955,0.0,80,0.5
92,p_80_0_1_v_5_0_6,建材營造&p_ic,0.07446981783471718,50.26,-0.3664358849921995,-0.11166692507727782,0.4909090909090909,0.0,80,0.6
93,p_80_0_1_v_5_0_7,建材營造&p_ic,0.07628848556303125,49.08,-0.3664358849921995,-0.10912285874484817,0.4977578475336323,0.0,80,0.7
94,p_80_0_1_v_5_0_8,建材營造&p_ic,0.07806578939092823,48.63,-0.34825085240036,-0.1095850859106522,0.4977578475336323,0.0,80,0.8
95,p_100_0_1_v_5_0_4,建材營造&p_ic,0.09273392423682902,45.41,-0.3414105266873678,-0.09741506947629973,0.49214659685863876,0.0,100,0.4
